,Release_Date,ID,Title,Budget,Revenue,Profit,Runtime,Rating,Genres,Sub-genres,MPAA,numTop1k
0,2009-12-18,19995,Avatar,237000000,2787965087,2550965087,162,7.4,Action,Adventure,PG-13,6
1,2009-07-08,767,Harry Potter and the Half-Blood Prince,250000000,933959197,683959197,153,7.6,Adventure,Fantasy,PG,7
2,2009-07-01,8355,Ice Age: Dawn of the Dinosaurs,90000000,886686817,796686817,94,6.6,Animation,Comedy,PG,4
3,2009-06-23,8373,Transformers: Revenge of the Fallen,150000000,836297228,686297228,150,6.0,Science Fiction,Action,PG-13,6
4,2009-10-10,14161,2012,200000000,769653595,569653595,158,5.7,Action,Adventure,PG-13,6
5,2009-05-28,14160,Up,175000000,735099082,560099082,96,7.9,Animation,Comedy,PG,2
6,2009-11-20,18239,The Twilight Saga: New Moon,50000000,709827462,659827462,131,5.8,Adventure,Fantasy,PG-13,4
7,2009-12-25,10528,Sherlock Holmes,90000000,524028679,434028679,128,7.2,Action,Adventure,PG-13,7
8,2009-06-05,18785,The Hangover,35000000,459270619,424270619,100,7.3,Comedy,,R,4
9,2009-12-23,23398,Alvin and the Chipmunks: The Squeakquel,75000000,443140005,368140005,88,5.5,Comedy,Family,PG,5
10,2009-05-21,18360,Night at the Museum: Battle of the Smithsonian,150000000,413106170,263106170,105,6.0,Adventure,Fantasy,PG,7
11,2009-05-07,13475,Star Trek,150000000,385680446,235680446,127,7.4,Science Fiction,Action,PG-13,5
12,2009-03-26,15512,Monsters vs Aliens,175000000,381509870,206509870,94,6.1,Animation,Family,PG,6
13,2009-04-30,2080,X-Men Origins: Wolverine,150000000,373062864,223062864,107,6.2,Adventure,Action,PG-13,5
14,2009-05-20,534,Terminator Salvation,200000000,371353001,171353001,115,5.9,Action,Science Fiction,PG-13,5
15,2009-04-03,13804,Fast & Furious,85000000,363164265,278164265,107,6.6,Action,Crime,PG-13,4
16,2009-05-15,13448,Angels & Demons,150000000,356613439,206613439,138,6.6,Thriller,Mystery,PG-13,4
17,2009-11-06,17979,A Christmas Carol,200000000,325233863,125233863,96,6.8,Animation,Family,PG,4
18,2009-08-21,16869,Inglourious Basterds,70000000,319131050,249131050,153,8.1,Drama,Action,R,6
19,2009-06-01,18240,The Proposal,40000000,317375031,277375031,108,6.9,Comedy,Romance,PG-13,6
20,2010-06-17,10193,Toy Story 3,200000000,1066969703,866969703,103,7.8,Animation,Family,G,7
21,2010-03-05,12155,Alice in Wonderland,200000000,1025467110,825467110,108,6.6,Family,Fantasy,PG,6
22,2010-11-19,12444,Harry Potter and the Deathly Hallows: Part 1,250000000,954305868,704305868,146,7.8,Adventure,Fantasy,PG-13,8
23,2010-07-16,27205,Inception,160000000,825532764,665532764,148,8.3,Action,Science Fiction,PG-13,8
24,2010-05-16,10192,Shrek Forever After,165000000,752600867,587600867,93,6.2,Comedy,Adventure,PG,8
25,2010-06-23,24021,The Twilight Saga: Eclipse,68000000,698491347,630491347,124,6.0,Adventure,Fantasy,PG-13,4
26,2010-05-07,10138,Iron Man 2,200000000,623933331,423933331,124,6.8,Adventure,Action,PG-13,7
27,2010-11-24,38757,Tangled,260000000,591794936,331794936,100,7.5,Animation,Family,PG,2
28,2010-07-09,20352,Despicable Me,69000000,543513985,474513985,95,7.2,Animation,Family,PG,5
29,2010-03-26,10191,How to Train Your Dragon,165000000,494878759,329878759,100,7.7,Fantasy,Adventure,PG,4
30,2010-12-10,10140,The Chronicles of Narnia: The Voyage of the Dawn Treader,155000000,415686217,260686217,113,6.3,Adventure,Family,PG,3
31,2010-09-06,45269,The King's Speech,15000000,414211549,399211549,118,7.7,Drama,History,R,6
32,2010-12-10,20526,TRON: Legacy,170000000,400062763,230062763,125,6.4,Adventure,Action,PG,6
33,2010-06-10,38575,The Karate Kid,40000000,357852395,317852395,140,6.3,Action,Adventure,PG,2
34,2010-05-27,9543,Prince of Persia: The Sands of Time,150000000,335154643,185154643,116,6.2,Adventure,Fantasy,PG-13,4
35,2010-12-03,44214,Black Swan,13000000,327803731,314803731,108,7.6,Drama,Thriller,R,4
36,2010-11-04,38055,Megamind,130000000,321885765,191885765,96,6.8,Animation,Action,PG,5
37,2010-07-01,10196,The Last Airbender,150000000,318502923,168502923,103,4.7,Action,Adventure,PG,1
38,2010-05-14,20662,Robin Hood,200000000,310669540,110669540,140,6.3,Action,Adventure,PG-13,6
39,2010-12-21,39451,Little Fockers,100000000,310650585,210650585,98,5.6,Comedy,Romance,PG-13,8
40,2011-07-15,12445,Harry Potter and the Deathly Hallows: Part 2,125000000,1342000000,1217000000,130,8.1,Family,Fantasy,PG-13,6
41,2011-06-28,38356,Transformers: Dark of the Moon,195000000,1123746996,928746996,154,6.1,Action,Science Fiction,PG-13,7
42,2011-05-20,1865,Pirates of the Caribbean: On Stranger Tides,380000000,1045713802,665713802,136,6.4,Adventure,Action,PG-13,3
43,2011-11-17,50619,The Twilight Saga: Breaking Dawn - Part 1,110000000,712171856,602171856,117,6.0,Adventure,Fantasy,PG-13,4
44,2011-12-21,56292,Mission: Impossible - Ghost Protocol,145000000,694713380,549713380,133,7.0,Action,Thriller,PG-13,5
45,2011-05-25,49444,Kung Fu Panda 2,150000000,665692281,515692281,91,6.8,Animation,Family,PG,9
46,2011-04-28,51497,Fast Five,125000000,626137675,501137675,130,7.2,Action,Thriller,PG-13,5
47,2011-07-29,41513,The Smurfs,110000000,563749323,453749323,103,5.7,Animation,Family,PG,2
48,2011-06-16,49013,Cars 2,200000000,559852396,359852396,106,5.9,Animation,Family,G,4
49,2011-10-28,417859,Puss in Boots,130000000,554987477,424987477,90,6.3,Action,Adventure,PG,4
50,2011-04-15,46195,Rio,90000000,484635760,394635760,96,6.6,Animation,Adventure,G,4
51,2011-08-04,61791,Rise of the Planet of the Apes,93000000,482860185,389860185,105,7.2,Thriller,Action,PG-13,5
52,2011-05-06,10195,Thor,150000000,449326618,299326618,115,6.7,Adventure,Fantasy,PG-13,8
53,2011-11-02,77338,The Intouchables,13000000,426480871,413480871,113,8.2,Drama,Comedy,R,1
54,2011-12-20,17578,The Adventures of Tintin,130000000,371940071,241940071,107,6.8,Adventure,Animation,PG,7
55,2011-07-22,1771,Captain America: The First Avenger,140000000,370569774,230569774,124,6.9,Action,Adventure,PG-13,5
56,2011-06-03,49538,X-Men: First Class,160000000,353624124,193624124,132,7.2,Action,Science Fiction,PG-13,7
57,2011-12-16,55301,Alvin and the Chipmunks: Chipwrecked,75000000,342695435,267695435,87,5.6,Comedy,Fantasy,G,5
58,2011-12-16,58574,Sherlock Holmes: A Game of Shadows,125000000,334615000,209615000,129,7.1,Adventure,Action,PG-13,6
59,2011-10-06,39254,Real Steel,110000000,299268508,189268508,127,6.8,Action,Science Fiction,PG-13,3
60,2012-05-04,24428,The Avengers,220000000,1519557910,1299557910,143,7.6,Science Fiction,Action,PG-13,9
61,2012-11-09,37724,Skyfall,200000000,1108561013,908561013,143,7.1,Action,Adventure,PG-13,6
62,2012-07-20,49026,The Dark Knight Rises,250000000,1084939099,834939099,165,7.7,Action,Crime,PG-13,9
63,2012-12-14,49051,The Hobbit: An Unexpected Journey,250000000,1021103568,771103568,169,7.2,Adventure,Fantasy,PG-13,5
64,2012-07-13,57800,Ice Age: Continental Drift,95000000,877244782,782244782,88,6.3,Animation,Comedy,PG,6
65,2012-11-16,50620,The Twilight Saga: Breaking Dawn - Part 2,120000000,829000000,709000000,115,6.3,Adventure,Fantasy,PG-13,4
66,2012-07-04,1930,The Amazing Spider-Man,215000000,752215857,537215857,136,6.5,Action,Adventure,PG-13,6
67,2012-06-08,80321,Madagascar 3: Europe's Most Wanted,145000000,746921274,601921274,93,6.5,Animation,Family,PG,7
68,2012-03-23,70160,The Hunger Games,75000000,691210692,616210692,142,7.1,Science Fiction,Adventure,PG-13,6
69,2012-05-25,41154,Men in Black 3,225000000,624026776,399026776,106,6.4,Action,Comedy,PG-13,7
70,2012-11-21,87827,Life of Pi,120000000,609016565,489016565,127,7.3,Adventure,Drama,PG,2
71,2012-06-29,72105,Ted,50000000,549368315,499368315,107,6.3,Comedy,Fantasy,R,4
72,2012-06-22,62177,Brave,185000000,538983207,353983207,93,6.9,Animation,Adventure,PG,4
73,2012-11-02,82690,Wreck-It Ralph,165000000,471222889,306222889,101,7.3,Family,Animation,PG,2
74,2012-12-25,82695,Les Misérables,61000000,441809770,380809770,157,7.4,History,Drama,PG-13,7
75,2012-12-25,68718,Django Unchained,100000000,425368238,325368238,165,8.0,Drama,Western,R,7
76,2012-06-08,70981,Prometheus,130000000,403170142,273170142,124,6.4,Science Fiction,Adventure,R,5
77,2012-06-01,58595,Snow White and the Huntsman,170000000,396600000,226600000,127,5.9,Adventure,Fantasy,PG-13,6
78,2012-10-04,82675,Taken 2,45000000,376141306,331141306,91,6.2,Action,Crime,PG-13,3
79,2012-09-28,76492,Hotel Transylvania,85000000,358375603,273375603,91,6.9,Animation,Comedy,PG,6
80,2013-11-27,109445,Frozen,150000000,1274219009,1124219009,102,7.3,Animation,Adventure,PG,2
81,2013-05-03,68721,Iron Man 3,200000000,1215439994,1015439994,131,6.9,Action,Adventure,PG-13,8
82,2013-07-03,93456,Despicable Me 2,76000000,970761885,894761885,98,6.9,Animation,Comedy,PG,5
83,2013-12-13,57158,The Hobbit: The Desolation of Smaug,250000000,958400000,708400000,161,7.6,Adventure,Fantasy,PG-13,4
84,2013-11-22,101299,The Hunger Games: Catching Fire,130000000,847423452,717423452,146,7.4,Adventure,Action,PG-13,8
85,2013-05-22,82992,Fast & Furious 6,160000000,788679850,628679850,131,6.8,Action,Thriller,PG-13,7
86,2013-06-21,62211,Monsters University,200000000,743559607,543559607,104,7.0,Animation,Family,G,8
87,2013-10-04,49047,Gravity,105000000,716392705,611392705,91,7.2,Science Fiction,Thriller,PG-13,3
88,2013-06-14,49521,Man of Steel,225000000,668045518,443045518,143,6.5,Action,Adventure,PG-13,8
89,2013-11-08,76338,Thor: The Dark World,170000000,644571402,474571402,112,6.6,Action,Adventure,PG-13,8
90,2013-03-22,49519,The Croods,135000000,585178928,450178928,98,6.8,Action,Adventure,PG,6
91,2013-06-21,72190,World War Z,200000000,531865000,331865000,116,6.7,Action,Drama,PG-13,2
92,2013-03-08,68728,Oz the Great and Powerful,200000000,491868548,291868548,130,5.8,Fantasy,Adventure,PG,6
93,2013-05-16,54138,Star Trek Into Darkness,190000000,467365246,277365246,132,7.4,Action,Adventure,PG-13,6
94,2013-07-25,76170,The Wolverine,120000000,415440673,295440673,126,6.3,Action,Science Fiction,PG-13,2
95,2013-07-12,68726,Pacific Rim,180000000,407602906,227602906,131,6.8,Action,Science Fiction,PG-13,5
96,2013-12-25,106646,The Wolf of Wall Street,100000000,392000694,292000694,180,8.0,Crime,Drama,R,4
97,2013-03-29,72559,G.I. Joe: Retaliation,130000000,371876278,241876278,110,5.5,Adventure,Action,PG-13,5
98,2013-05-23,109439,The Hangover Part III,103000000,362000072,259000072,100,6.1,Comedy,,R,5
99,2013-05-10,64682,The Great Gatsby,105000000,351040419,246040419,143,7.4,Drama,Romance,PG-13,4
